ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
313,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,We keep a shared acronym dictionary in google sheets to which anyone can add/update terms,4,"This is very tough as I believe in the value that I selected above for production code, but for unit tests (which I consider documentation) I have worked with my teams to create a three-part naming standard where you use a verbose structure like {MemberName}_{WordsDescribingConditionUnderTest}_{WordsDescribingExpectedResult}(). Test failures show up in CI build results and are extremely useful for people trying to troubleshoot problems, as well as documentation for future devs/selves to understand implementation intention. Since the names of the test and not their implementation show up in results, the verbosity is very useful here, so two standards apply!",Strongly Agree,"Culture-specific, spoken langage-specific slang/idioms are bad, BUT: language/framework/library-specific idioms and slang are usually accepted regardless of the spoken language or culture of the developers.",Disagree,"Discernable intent is more semantically valuable to developers vs. absolute grammatical correctness. Insofar as software development is subject to the cultural imperialism of the English language, sure, but I've worked with a mix of SVO and SOV native-language speakers on the same project and we often agreed to disagree when it came up instead of forcing one over the other every time.",Strongly Agree,,Disagree,"Especially important to disagree with this at the seams between framework logic and business logic (e.g. near process boundaries) because you often have a translation of an internal representation like a database schema and an external representation like a REST API response that is ""mapped"" for each request. When maintaining those seams, it is often helpful to use system-specific terms in property names for data transfer objects. I can think of other examples where term-specific differences are helpful, such as using similar-but-different objects from different dependencies within the same unit of business logic to produce either a mapping or a 3rd representation.","I put this comment on the word length answer, as well: I consider unit tests as documentation for the system, so I have worked with my teams at every company I've been at for the last 12 years to create a three-part naming standard where you use a verbose structure like {MemberName}_{WordsDescribingConditionUnderTest}_{WordsDescribingExpectedResult}(). In this manner, test failures show up in CI build results and are extremely useful for people trying to troubleshoot problems, as well as documentation for future devs/selves to understand implementation intention. Since the names of the test and not their implementation show up in results, the verbosity is very useful here, so two ""acceptable word length limit"" standards apply (one for production code and one for test code)",Slightly Strict,"We try to follow the framework library guidelines for each platform we use (.NET, Python, Angular, Node.js), but repo owners can describe/enforce exceptions.","C#,JavaScript,Other language? Please specify below.","PowerShell
TypeScript",10+ years
314,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"Python,JavaScript",,5 - 9 years
315,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,"Guidelines for variable naming, method naming. Most common standard is that within each project _one convention_ needs to be defined and followed by all members","C++,Java,C,C#",,5 - 9 years
316,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,6,,Agree,,Agree,,Strongly Agree,,Disagree,,,No Standards,,"C++,Python,C,C#",,10+ years
317,Strongly Agree,,Agree,"Builders in Java it isn't desirable to have setFoo, just foo",Strongly Agree,,,,Strongly Agree,,4,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript",,10+ years
318,Strongly Agree,,Agree,"Sometimes, depending on the class' purpose or pattern (e.g. fluent), I prefer naming a getter without the ""get"" prefix.",Strongly Agree,,Agree,,Agree,,3,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,Exceptions apply on legacy code,"JavaScript,Other language? Please specify below.",PHP,10+ years
319,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,C#,JavaScript",,10+ years
320,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,,Not Strict,,"C++,Python,C#",,10+ years
321,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,Abbreviations can be evil,Strongly Agree,,5,,Strongly Agree,Be cute in real life,Strongly Agree,,Strongly Agree,,Strongly Disagree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript",,10+ years
322,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,,"Python,JavaScript,Other language? Please specify below.",PHP,10+ years
323,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,15,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,writing concise names,No Standards,,"Python,Java,JavaScript",,10+ years
324,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,C#,JavaScript",,10+ years
325,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Disagree,,Strongly Agree,,Disagree,,,Very Strict,,"C++,Java,C,C#",,10+ years
326,Strongly Agree,,Agree,"I don't mind ""is"" methods (e.g. isActive) instead of getters for boolean values",Strongly Agree,,Strongly Agree,,Strongly Agree,,11,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Java,C#",,5 - 9 years
327,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,15,,Agree,,Agree,,Agree,,Strongly Agree,,Human readable,Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
328,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,"There may be exceptions, but more than four normally means something is wrong or you're not clear in your thoughts.",Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,"Having ""and"" in your name often means that your method is doing too much or is at the wrong level of granularity.",Slightly Strict,"The answers to this question are slightly confusing. ""No Standards"" would seem like the right-hand most (lowest) item in the series, not the middle. We have ""slightly strict"" naming conventions in that some languages have them specified, but we're more reliant on developer behaviour than compliance with standards.","Python,Java,C#,JavaScript,Other language? Please specify below.","PHP, Vala.",10+ years
329,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,I don’t believe there should be a maximum number of words,Strongly Agree,,Disagree,,Agree,,Agree,,,Strict,,"Python,Java,Other language? Please specify below.","Scala
Ruby
Objective-C
Scheme",10+ years
330,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,we follow the UE4 Allar styleguide,"Python,C,C#,Other language? Please specify below.",Lua,5 - 9 years
331,Strongly Agree,Those upper case or undersocre are ligths in the darkness,Strongly Agree,Behavior means movement. Movement means verb.,Strongly Agree,"Also want to say. As not english native, it helps a lot if literature naming is avoided. Use just 6 years old verb vocabulary when possible. It will help a lot other non native remote minions.",Strongly Agree,6 year old rule again. Seen some abrreviations only clear in the mind that wrotte them,Strongly Agree,Again,10,"But not a constrain itself. Just a nice to have, but not always possible",,cornerCase or Martyrunnigthrougthclockinaelectricalstorm,Strongly Agree,,Strongly Agree,,Strongly Agree,,"Read the code to ur bussines mate. If you do not need to explain anything extra , it's mainly ok for most common cases. Used this live ""pseudoconvention""  as a live test several times and worth millions.",No Standards,"On legacy, naming convention is a dream. On new code, we use clean code guidelines, plus we have a small project in a repo for the onboarding. Mostly achieved by consensus. Not only contains technical naming conventions, but further more important it sets the languagewe are going to use","Python,Java,C,JavaScript,Other language? Please specify below.","Sql, php",10+ years
332,Strongly Agree,"PascalCase is acceptable, too.",Agree,,Agree,,Strongly Agree,,Strongly Agree,,7,This is kind of arbitrary. Especially when you consider unit test names. ,Disagree,,Agree,"Generally agree, but I can see some exceptions. ",Strongly Agree,,Agree,,Don't make me think. I shouldn't have to guess at what something does.,No Standards,,"C#,JavaScript,Other language? Please specify below.",SQL,10+ years
333,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,JavaScript,Other language? Please specify below.",Go,3 - 4 years
334,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,C,C#,JavaScript",,10+ years
335,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Very Strict,,"C#,JavaScript",,10+ years
336,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Disagree,,Disagree,,Strongly Agree,,Disagree,,,No Standards,,"Python,JavaScript,Other language? Please specify below.",PHP,5 - 9 years
337,Strongly Agree,Those could be standard but aren’t for a reason.,Agree,Was going to quibble with my own answer but my counterexamples is usually boiled down were more like a property implemented with call syntax.,Agree,Point is understandable code - aa2020 may be fine if it’s dragged into the domain.,Agree,I’ve been but by this reading a new code base. Again there may be enough local context to make unclear expansions clear. Still something to keep in mind.,Agree,,4,"This is language dependent. Folks who insist on 80 column editors hate long ones more, I think.",Strongly Agree,,Agree,,Strongly Agree,,Agree,I see this in wrappers but that’s naming a different system.,,Slightly Strict,Varies by language but usually matches “do this” form.,"C++,Python,C,C#",,10+ years
338,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Clarity over brevity,No Standards,,Java,,10+ years
339,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,I am a consultant and work for various clients so naming standatds change on each proect from mine to none to theirs,"C++,C#,JavaScript",,10+ years
340,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,3,"Most important is to have a descriptive name, so I wouldn’t be that strict with numbering words.",Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,"One could remove a word „Manager” from naming standardy. We have managera of everything these days, and there are so many words out there easy to use.",Very Strict,According to customer’s coding standards- automotive industry.,"C++,Python,C,Other language? Please specify below.","Awk, sed, perl ",5 - 9 years
341,Strongly Agree,Just pick a style and stick with it.,Strongly Agree,,Strongly Agree,"I'm sure there is an exception to this out there, but I'll still say Strongly Agree.",Strongly Agree,,Strongly Agree,,6,,Agree,"Agree, but leave a little room for FUN. Inside jokes are healthy for humans.",Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C#,JavaScript,Other language? Please specify below.",PHP,10+ years
342,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,6,,Disagree,,Agree,,Agree,,Agree,,,Slightly Strict,,"Java,C#,JavaScript",,10+ years
343,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript",,5 - 9 years
344,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,8,,Disagree,Idioms seem fine in moderation,Agree,,Agree,,Disagree,Depends on a lot - what if a single team has multiple products with a shared library? It may not be best practice but I wouldn't be dogmatic about it.,,Slightly Strict,"Pascal or camel case depending on language, but not much else and rarely enforced.","C#,JavaScript",,5 - 9 years
345,Strongly Agree,,Disagree,,Agree,,Agree,,Disagree,,6,,Strongly Agree,,Strongly Disagree,,Agree,exception for methods that are used very often and make reading the calling code harder,Strongly Agree,,,Not Strict,"""generally, try to match existing code"".  peer review will often correct weird naming","C++,Java,C,C#,JavaScript",,10+ years
346,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Agree,,Agree,,,Slightly Strict,,"C++,Java,JavaScript,Other language? Please specify below.",PHP,10+ years
347,Agree,Standard itself might differ e.g. between prod code and test code,Disagree,"I differentiate between different types of methods: query, command etc.",Strongly Agree,,Strongly Agree,,Strongly Agree,,3,Test methods can have longer names,Strongly Agree,Never confuse non native speakers,Agree,,Strongly Agree,,Agree,,Same abstraction level in method names of same class,No Standards,,"Python,Java,C#,JavaScript,Other language? Please specify below.","Smalltalk, Haskell",10+ years
348,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,"Even when abbreviation is non-standard or ambiguous in general sense, usually it’s unambiguous in context.",,,4,Except test names. In our company it is valued when the test name is exhaustive and follows the same naming convention as other tests in file/suite. Frequently this means long names like ”ShouldRejectPizzaOrder_WhenOutOfTomatoes”.,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,"PascalCase for classes, methods and properties, private fields begin with underscore followed by a lowercase letter, spellchecker on. Naming conventions are enforced by tools, but don’t break the build. There are lots of legacy code with poor translations (company is from Russia), but it’s less common in new code.","C++,Python,C,C#,JavaScript",,5 - 9 years
349,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,Strict,Symfony coding standards for Symfony projects.,Other language? Please specify below.,Php,10+ years
350,Strongly Agree,I like capitalizing the first letter,Strongly Agree,,Strongly Agree,,Strongly Agree,Abbreviation should only be used rarely,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,There is no standard but we try to keep the style similar,"Java,C#,JavaScript",,10+ years
351,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","Perl, Smalltalk, Eiffle, Lisp, Erlang, Elixir, PHP",10+ years
352,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Java,JavaScript",,1 - 2 years
353,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,C#",,10+ years
354,Strongly Agree,,Agree,,Strongly Agree,"Not just a known word - it should be a perfect word(s) both by meaning - I can spend even hours searching through dictionary and synonym lists for the perfect name.. (actually not just methods, I do especially with variables, class names, etc.)",Strongly Agree,,Agree,,,"Does not matter how many words, or even worse letters.. only thing that matters is that perfectly it’s self explanatory (that also means keeping it as short as possible, but setting a limit is just ridiculous) - if one needs a whole sentence to describe the method in it’s name, either one should seriously spend more time learning the language (not programming, but eg. english, or whatever one speaks) or the method is really over complicated and should likely be split/refactored..",Disagree,,Agree,"Yes, but not always.. eg. let’s imagine 3 methods with similar functionality but perhaps tailored for 3 different data models, it’s ok to eg. keep the data model name at the end even though it’s grammatically 100%, but it’s for the sake of keeping some higher logic naming. Always depends on the case, if it has logic, it’s probably ok (should the logic be consistent all throughout the code base)",Agree,,Agree,,,Slightly Strict,"Truly depends on a project, languages used through the project, but far mostly on a team leaders who usually set some “standard” at the beginning :D","C++,Python,C#,JavaScript,Other language? Please specify below.","Go, TS (I really try to avoid a pure js as much as possible), a little bit of swift",5 - 9 years
355,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,C,C#,JavaScript",,10+ years
356,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"agree, but abbreviations can be introduced in the same module, eg is ""proto"" was commonly used in the same code and only had 1 meaning there, it'd be okay",Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C#,JavaScript,Other language? Please specify below.",Ruby,10+ years
